com.samsung.shealth.tipdata,6320001,3
tip_type,tip_title,tip_summary,tip_new,tip_url,tip_country_code,tip_id,update_time,create_time,goal_id,tip_language_code,time_offset,deviceuuid,pkg_name,datauuid
,활동적인 하루,대부분의 사람들이 신체 활동과 운동이란 말을 구별 없이 사용하고 있습니다. 하지만 두 단어의 의미는 조금 다르게 사용하는 것이 좋습니다.,0,WELCOME,kr,5958,2015-04-23 17:22:15.498,2015-04-17 08:07:58.395,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,6428e1a6-c1ca-485d-a76d-70f5a3bdf69a,
,간편한 발 관리로 건강을 챙기세요,현대 사회에서 건강은 단지 신체적으로 이상이 없는 상태가 아닌 행복한 삶을 위한 기본조건으로 여겨지고 있다. 건강을 위한 노력 중 하나로 적극적인 신체활동을...,0,GENERAL,kr,5987,2015-04-30 09:15:54.448,2015-04-28 11:15:55.453,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,24e80101-7ff5-4fb5-b000-10f9819dc33f,
,,"You averaged 92 active minutes per day last week. That's 18 minutes more per day than the week before. Sunday was your most active day, with 180 minutes of activity.",1,,,insight_activity_week_report_1437868800000,2015-07-27 13:41:08.598,2015-07-27 13:41:08.598,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,5637bbb5-b6b6-4243-8919-7f05d6f157f5,
,20분으로 한시간 운동효과! '고강도 트레이닝' 운동법,운동 강도를 조절해 단기간에 살을 뺄 수 있다면? 매일 1시간 이상 걷는 등 시간을 투자할 수 없거나 ...,1,GENERAL,kr,6584,2015-08-02 10:54:16.007,2015-08-02 10:54:16.007,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,3ab6a5ad-4fc0-41f6-82db-25507002408b,
,얼마나 운동을 해야 하나?,과연 우리는 운동을 얼마나 해야 안전하고 효과적으로 할 수 있는지 궁금증을 갖게 됩니다.,0,WELCOME,kr,5722,2015-04-23 17:22:15.447,2015-04-17 08:07:58.348,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,8aee92b3-6250-4a55-a42a-21c7ca98cd5b,
,"더워도 나는 산에 간다, 여름철 등산 주의점",여름 등산 시 특히 주의할 점에 대해 알아보았다.,1,GENERAL,kr,6616,2015-07-27 13:41:08.704,2015-07-27 13:41:08.704,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,a3a20722-e705-4a9b-b6b7-5653bef3181f,
,유연성 평가방법,"많은 사람들은 나이가 들게되면 유연성의 정도가 신체활동을 통한 운동수행에 결정적인 역할을 하기 때문에 그 중요성을 깨닫게 된다. 유연성의 부족은 인대의 손상과 같은 상해를 수반하며, 신체활동의 제약을 받게 된다.",0,GENERAL,kr,5716,2015-05-02 12:30:06.295,2015-04-30 09:15:54.348,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,e6870c5f-e673-437e-9e29-463dc1cde116,
,,"You averaged 82 active minutes per day last month. Your highest number of active minutes per day last month was 198 minutes, while your lowest was 16 minutes. You achieved your goals on 17 days last month.",1,,,insight_activity_month_report_1435708800000,2015-07-27 13:41:08.686,2015-07-27 13:41:08.686,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,1b1dca34-c201-47dd-89fe-a811eacb6c12,
,,"You averaged 146 active minutes per day last week. That's 42 minutes less per day than the week before. Monday was your most active day, with 210 minutes of activity.",0,,,insight_activity_week_report_1429974000000,2015-05-02 12:30:06.329,2015-04-30 09:15:54.582,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,d225d427-70fd-447a-80ad-ca07342f04c5,
,,"You averaged 137 active minutes per day last week. That's 9 minutes less per day than the week before. Sunday was your most active day, with 281 minutes of activity.",0,,,insight_activity_week_report_1430578800000,2015-05-06 15:24:41.697,2015-05-04 08:34:55.339,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,6b4e3f3f-8736-4da2-b394-18f7b8b08a1d,
